timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW,bessChargeMWh,bessDischargeMWh,bessThroughputMWh,proxyProjectGHGKgCO2e,proxyAvoidedGHGKgCO2e,proxyNetGHGKgCO2e
0,NORMAL,140.291756304204,140.291756304204,52.8459668305199,0,0,48.6182894840783,0,0,0,0,0,0,0,0,24912.46430154,2805.83512608408,-47391.0491754559,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,140.291756304204,140.291756304204,0,66.3157894736842,0,0.89375,0,0,0,52.8459668305199,0,0,0,0,134.26,6.03175630420411,0,66.3157894736842,0,66.3157894736842,2435.95529193148,24309.1447420391,-21873.1894501077
1,NORMAL,152.518159228209,152.518159228209,131.388159228209,0,0,120.877106489952,0,0,0,0,0,0,0,0,53912.8179186773,3050.36318456417,-50862.4547341132,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,152.518159228209,152.518159228209,0,0,0,0.89375,0,0,0,131.388159228209,0,0,0,0,138.964,13.5541592282087,0,0,0,0,2287.77238842313,60438.553244976,-58150.7808565529
2,NORMAL,165.459025817457,165.459025817457,144.329025817457,0,0,132.782703752061,0,0,0,0,0,0,0,0,58691.0103238521,3309.18051634915,-55381.8298075029,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,165.459025817457,165.459025817457,0,0,0,0.89375,0,0,0,144.329025817457,0,0,0,0,144.256,21.2030258174573,0,0,0,0,2481.88538726186,66391.3518760304,-63909.4664887685
3,NORMAL,175.487295316613,175.487295316613,154.357295316613,0,0,142.008711691284,0,0,0,0,0,0,0,0,62393.7763501799,3509.74590633226,-58884.0304438477,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,175.487295316613,175.487295316613,0,0,0,0.89375,0,0,0,154.357295316613,0,0,0,0,147.784,27.703295316613,0,0,0,0,2632.3094297492,71004.355845642,-68372.0464158928
4,NORMAL,176.672977440479,176.672977440479,155.542977440479,0,0,143.099539245241,0,0,0,0,0,0,0,0,62831.5690806848,3533.45954880958,-59298.1095318752,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,176.672977440479,176.672977440479,0,0,0,0.89375,0,0,0,155.542977440479,0,0,0,0,152.3116,24.3613774404788,0,0,0,0,2650.09466160718,71549.7696226203,-68899.6749610131
5,NORMAL,185.022781249829,185.022781249829,163.892781249829,0,0,150.781358749843,0,0,0,0,0,0,0,0,65914.590520662,3700.45562499659,-62214.1348956654,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,185.022781249829,185.022781249829,0,0,0,0.89375,0,0,0,163.892781249829,0,0,0,0,163.4836,21.5391812498294,0,0,0,0,2775.34171874744,75390.6793749215,-72615.3376561741
6,NORMAL,200.580678321577,200.580678321577,179.450678321577,0,0,165.094624055851,0,0,0,0,0,0,0,0,71659.0764185753,4011.61356643155,-67647.4628521438,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,200.580678321577,200.580678321577,0,0,0,0.89375,0,0,0,179.450678321577,0,0,0,0,181.3588,19.2218783215774,0,0,0,0,3008.71017482366,82547.3120279256,-79538.6018531019
7,NORMAL,224.991213716989,221.13,200,0,0,184,0,0,0,0,0,0,3.86121371698889,0,79246.56,4422.6,-74823.96,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,3.86121371698889,1,MAIN_CONCLUSION_ELIGIBLE,224.991213716989,221.13,3.86121371698889,0,0,0.89375,0,0,0,200,0,0,0,0,208.1716,16.8196137169888,0,0,0,0,3316.95,92000,-88683.05
8,NORMAL,244.995306020671,221.13,200,0,0,184,0,0,0,0,0,0,23.8653060206714,0,79246.56,4422.6,-74823.96,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,23.8653060206714,1,MAIN_CONCLUSION_ELIGIBLE,244.995306020671,221.13,23.8653060206714,0,0,0.89375,0,0,0,200,0,0,0,0,234.9844,10.0109060206714,0,0,0,0,3316.95,92000,-88683.05
9,NORMAL,255.284296059127,221.13,200,0,0,184,0,0,0,0,0,0,34.1542960591267,0,79246.56,4422.6,-74823.96,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,34.1542960591267,1,MAIN_CONCLUSION_ELIGIBLE,255.284296059127,221.13,34.1542960591267,0,0,0.89375,0,0,0,200,0,0,0,0,253.9768,1.30749605912667,0,0,0,0,3316.95,92000,-88683.05
