timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
0,NORMAL,140.291756304204,140.291756304204,27.9371612235423,60,31.2245950806618,25.7021883256589,1056.89624801832,0,0,0,1056.89624801832,29.1398174519855,0,0,26138.4339241509,66504.9719941482,10392.9604761978,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.234447377162035,0.503517251347219,0.262035371490745,1,KALMAN_PRIOR_POSTERIOR,200,200,357.770876399966,200,-59.7082436957959,6,181.55,100,600,119.161756304204,0.277198594983961,0.550812448361333,0.171988956654706,0.277198594983961,0.550812448361333,0.171988956654706,1,0,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,140.291756304204,140.291756304204,0,0,0,0.5,60,1056.89624801832,0,27.9371612235423,31.2245950806618,0,0,0,134.26,6.03175630420411,0
1,NORMAL,152.518159228209,152.518159228209,2.81895140515603,60,30.5884942701108,2.59343529274355,1056.89624801832,0,0,0,1056.89624801832,28.5465921109482,0,0,20295.7205257326,6749.50005262829,-56040.1402896311,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.0301790867395751,0.642347080216618,0.327473833043807,1,KALMAN_PRIOR_POSTERIOR,143.135006004004,143.135006004004,178.03156488454,143.135006004004,9.38315322420476,6,110.588494270111,80,480,88.4707954160886,0.180179086739575,0.611218987873066,0.208601925387359,0,0.723402561251997,0.276597438748002,1,0,0.194039016488773,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,152.518159228209,152.518159228209,0,37.9807135529419,0,0.725510486720592,60,2113.79249603664,0,2.81895140515603,30.5884942701108,0,0,0,138.964,13.5541592282087,0
2,NORMAL,165.459025817457,165.459025817457,27.2899155361532,60,28.7040343605618,25.106722293261,1056.89624801832,0,0,0,1056.89624801832,26.7883071973859,0,0,24819.7669490756,7008.31738441326,-57125.6849357345,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.235270163318459,0.51726835799131,0.247461478690232,1,KALMAN_PRIOR_POSTERIOR,146.404957766206,149.218584716574,170.143040569478,149.218584716574,16.2404411008828,6,108.704034360562,80,480,86.9632274884494,0.117116406380724,0.654872478537512,0.228011115081764,0,0.735943246914342,0.264056753085658,1,0,0.126125360717702,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,165.459025817457,165.459025817457,0,28.3350759207423,0,0.89375,60,3170.68874405496,0,27.2899155361532,28.7040343605618,0,0,0,144.256,21.2030258174573,0
3,NORMAL,175.487295316613,174.431930657592,22.6765042799372,100,30.6254263776553,20.8623839375422,1761.4937466972,0,0,0,1761.4937466972,28.5818695133202,1.0553646590206,0,24697.9069016702,49653.866726592,-25000.0028314107,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.147920539439169,0.652307505659241,0.19977195490159,1,KALMAN_PRIOR_POSTERIOR,152.75631378329,158.98422454648,170.330447570587,158.98422454648,16.5030707701333,6,137.85422454648,100,600,110.283379637184,0.094478959938094,0.679558496062391,0.225962543999515,0.0524379879732099,0.725403957180024,0.222158054846766,1,0,0.049372035049758,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,1,40,40,41.0553646590206,1,MAIN_CONCLUSION_ELIGIBLE,175.487295316613,174.431930657592,1.0553646590206,0,0,0.89375,100,4932.18249075216,0,22.6765042799372,30.6254263776553,0,0,0,147.784,27.703295316613,0
4,NORMAL,176.672977440479,176.672977440479,26.1521473293054,100,29.3908301111734,24.059975542961,1761.4937466972,0,0,0,1761.4937466972,27.4300437234936,0,0,24889.4159920574,9698.68766224977,-65146.6909861402,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.168134542360249,0.642909128046406,0.188956329593346,1,KALMAN_PRIOR_POSTERIOR,158.439059166621,167.625445589451,170.627778294675,167.625445589451,9.04753185102817,6,146.495445589451,100,600,117.196356471561,0.102276863453558,0.680628299698296,0.217094836848146,0.11675868426799,0.682615077879262,0.200626237852748,1,0,0.0177354143027368,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,176.672977440479,176.672977440479,0,0,0,0.89375,100,6693.67623744936,0,26.1521473293054,29.3908301111734,0,0,0,152.3116,24.3613774404788,0
5,NORMAL,185.022781249829,185.022781249829,34.746438944702,100,29.1463423051274,31.9667238291258,1761.4937466972,0,0,0,1761.4937466972,27.2022525120563,0,0,26673.1399750183,9865.68373843679,-66763.4188929141,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.212007134662852,0.610155000344801,0.177837864992347,1,KALMAN_PRIOR_POSTERIOR,162.085842821392,170.285910430675,170.556538696504,170.285910430675,14.736870819154,6,149.155910430675,100,600,119.32472834454,0.11343317163869,0.677062186926111,0.209504641435199,0.134152029696792,0.670439406063482,0.195408564239726,1,0,0.022312616370264,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,185.022781249829,185.022781249829,0,0,0,0.89375,100,8455.16998414655,0,34.746438944702,29.1463423051274,0,0,0,163.4836,21.5391812498294,0
6,NORMAL,200.580678321577,200.580678321577,49.5712473551757,100,29.8794309664017,45.6055475667616,1761.4937466972,0,0,0,1761.4937466972,27.8868389312393,0,0,30288.7508816425,10176.8416798717,-70067.8718581033,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.276238840771298,0.557256182786888,0.166504976441813,1,KALMAN_PRIOR_POSTERIOR,165.908665892799,176.021194793779,170.513395331865,176.021194793779,24.5594835277989,6,154.891194793779,100,600,123.912955835023,0.130249411732403,0.666055493606935,0.203695094660662,0.161479571906443,0.645614491728465,0.192905936365092,1,0,0.0336324801874273,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,200.580678321577,200.580678321577,0,0,0,0.89375,100,10216.6637308438,0,49.5712473551757,29.8794309664017,0,0,0,181.3588,19.2218783215774,0
7,NORMAL,224.991213716989,208.660157318116,58.265430101473,100,29.2647272166432,53.6041956933552,1761.4937466972,0,0,0,1761.4937466972,27.313515761296,16.3310563988726,0,38354.2683302559,10338.4312598025,-77971.7997267859,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.310698988017349,0.533247566312043,0.156053445670608,1,KALMAN_PRIOR_POSTERIOR,170.861810525481,186.271399101561,170.641097872435,186.271399101561,38.719814615428,6,165.141399101561,100,600,132.113119281249,0.160698988017349,0.644875658315698,0.194425353666953,0.217248201117963,0.605541678489115,0.177210120392922,1,0,0.0608991525698916,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,16.3310563988726,1,MAIN_CONCLUSION_ELIGIBLE,224.991213716989,208.660157318116,16.3310563988726,0,0,0.89375,100,11978.157477541,0,58.265430101473,29.2647272166432,0,0,0,208.1716,16.8196137169888,0
8,NORMAL,244.995306020671,215.491320935652,71.2832174208435,100,23.0781035148082,65.580560027176,1761.4937466972,0,0,0,1761.4937466972,21.5396876736494,29.5039850850196,0,39778.8454466081,10475.0545321532,-79259.7535707874,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.366756189336888,0.514505661510232,0.11873814915288,1,KALMAN_PRIOR_POSTERIOR,177.62798592442,202.357055024475,171.109101840299,202.357055024475,42.6382509961968,6,181.227055024475,100,600,144.98164401958,0.216756189336888,0.61229707481482,0.170946735848293,0.320862420358888,0.551793991170331,0.127343588470781,1,0,0.112114402639077,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,29.5039850850196,1,MAIN_CONCLUSION_ELIGIBLE,244.995306020671,215.491320935652,29.5039850850196,0,0,0.89375,100,13739.6512242382,0,71.2832174208435,23.0781035148082,0,0,0,234.9844,10.0109060206714,0
9,NORMAL,255.284296059127,232.567836537172,89.5315578862051,100,21.9062786509671,82.3690332553087,1761.4937466972,0,0,0,1761.4937466972,20.4462681353011,22.7164595219545,0,45275.9860395617,10816.5848441836,-84415.3638517106,1,1,PASS_STRICT,1,0,model_online_prior_posterior_event_aware,0.42344151525815,0.472952247515167,0.103606237226684,1,KALMAN_PRIOR_POSTERIOR,185.113243712892,217.346123224779,171.960803943805,217.346123224779,37.9381728343478,6,196.216123224779,100,600,156.972898579823,0.27344151525815,0.576367838812962,0.150190645928889,0.378714263397635,0.509642114809511,0.111643621792853,1,0,0.113370651842523,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,22.7164595219545,1,MAIN_CONCLUSION_ELIGIBLE,255.284296059127,232.567836537172,22.7164595219545,0,0,0.89375,100,15501.1449709353,0,89.5315578862051,21.9062786509671,0,0,0,253.9768,1.30749605912667,0
