timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,bessChargeMWh,bessDischargeMWh,bessThroughputMWh,projectGHGKgCO2e,avoidedBaselineGHGKgCO2e,netGHGKgCO2e,proxyProjectGHGKgCO2e,proxyAvoidedGHGKgCO2e,proxyNetGHGKgCO2e,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
0,NORMAL,140.291756304204,140.291756304204,87.9371612235423,0,31.2245950806618,77.3847018767172,0,0,0,0,0,29.1398174519855,0,0,182156.663511129,2805.83512608408,-179350.828385045,0,0,0,2104.37634456306,62262.2596643513,-60157.8833197883,2104.37634456306,53262.2596643513,-51157.8833197883,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.737964628509254,0,0.262035371490745,1,KALMAN_PRIOR_POSTERIOR,200,200,357.770876399966,200,-59.7082436957959,6,181.55,0,0,119.161756304204,0.828011043345294,0,0.171988956654706,0.828011043345294,0,0.171988956654706,1,0,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,140.291756304204,140.291756304204,0,0,0,0.5,0,0,0,87.9371612235423,31.2245950806618,0,0,0,134.26,6.03175630420411,0
1,NORMAL,152.518159228209,152.518159228209,67.0155105330924,0,30.5884942701108,58.9736492691213,0,0,0,0,0,28.5465921109482,0,0,171801.44495241,3050.36318456417,-181632.067677931,33.7841544250055,0,33.7841544250055,2456.69316054816,52760.1206900347,-50303.4275294866,2456.69316054816,43760.1206900347,-41303.4275294866,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.686606155845903,0,0.313393844154097,1,KALMAN_PRIOR_POSTERIOR,143.135006004004,143.135006004004,178.03156488454,143.135006004004,9.38315322420476,6,122.005006004004,0,0,97.6040048032031,0.800456901811294,5.55111517894887e-17,0.199543098188706,0.749284924676722,0,0.250715075323278,1,0,0.0551082830680005,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,152.518159228209,152.518159228209,0,33.7841544250055,0,0.70059341689847,0,0,0,67.0155105330924,30.5884942701108,0,0,0,138.964,13.5541592282087,0
2,NORMAL,165.459025817457,165.459025817457,83.0933564082169,0,28.7040343605618,73.1221536392308,0,0,0,0,0,26.7883071973859,0,0,168688.381128498,3309.18051634915,-177782.634702064,32.5316350486787,0,32.5316350486787,2644.54356250525,58955.2304183083,-56310.6868558031,2644.54356250525,49955.2304183083,-47310.6868558031,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.743249514472767,0,0.256750485527234,1,KALMAN_PRIOR_POSTERIOR,146.404957766206,149.218584716574,170.143040569478,149.218584716574,16.2404411008828,6,128.088584716574,0,0,102.47086777326,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.775904820682686,0,0.224095179317314,1,0,0.0171864567900261,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,165.459025817457,165.459025817457,0,32.5316350486787,0,0.89375,0,0,0,83.0933564082169,28.7040343605618,0,0,0,144.256,21.2030258174573,0
3,NORMAL,175.487295316613,175.487295316613,123.731868938958,0,30.6254263776553,108.884044666283,0,0,0,0,0,28.5818695133202,0,0,192008.870052967,3509.74590633226,-188499.124146635,0,0,0,2632.3094297492,77732.9570898015,-75100.6476600523,2632.3094297492,68732.9570898015,-66100.6476600523,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.801593916796499,0,0.198406083203501,1,KALMAN_PRIOR_POSTERIOR,152.75631378329,158.98422454648,170.330447570587,158.98422454648,16.5030707701333,6,137.85422454648,0,0,110.283379637184,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.777841945153234,0,0.222158054846766,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,175.487295316613,175.487295316613,0,0,0,0.89375,0,0,0,123.731868938958,30.6254263776553,0,0,0,147.784,27.703295316613,0
4,NORMAL,176.672977440479,176.672977440479,126.152147329305,0,29.3908301111734,111.013889649789,0,0,0,0,0,27.4300437234936,0,0,187104.533089514,3533.45954880958,-183571.073540705,0,0,0,2650.09466160718,78221.9666866412,-75571.872025034,2650.09466160718,69221.9666866412,-66571.872025034,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.811043670406655,0,0.188956329593346,1,KALMAN_PRIOR_POSTERIOR,158.439059166621,167.625445589451,170.627778294675,167.625445589451,9.04753185102817,6,146.495445589451,0,0,117.196356471561,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.799373762147252,0,0.200626237852748,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,176.672977440479,176.672977440479,0,0,0,0.89375,0,0,0,126.152147329305,29.3908301111734,0,0,0,152.3116,24.3613774404788,0
5,NORMAL,185.022781249829,185.022781249829,134.746438944702,0,29.1463423051274,118.576866271338,0,0,0,0,0,27.2022525120563,0,0,189000.90206962,3700.45562499659,-185300.446444624,0,0,0,2775.34171874744,81889.559391697,-79114.2176729496,2775.34171874744,72889.559391697,-70114.2176729496,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.822162135007653,0,0.177837864992347,1,KALMAN_PRIOR_POSTERIOR,162.085842821392,170.285910430675,170.556538696504,170.285910430675,14.736870819154,6,149.155910430675,0,0,119.32472834454,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.804591435760274,0,0.195408564239726,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,185.022781249829,185.022781249829,0,0,0,0.89375,0,0,0,134.746438944702,29.1463423051274,0,0,0,163.4836,21.5391812498294,0
6,NORMAL,200.580678321577,200.580678321577,149.571247355176,0,29.8794309664017,131.622697672555,0,0,0,0,0,27.8868389312393,0,0,197659.6481401,4011.61356643155,-193648.034573668,0,0,0,3008.71017482366,88754.768301897,-85746.0581270733,3008.71017482366,79754.768301897,-76746.0581270733,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.833495023558187,0,0.166504976441813,1,KALMAN_PRIOR_POSTERIOR,165.908665892799,176.021194793779,170.513395331865,176.021194793779,24.5594835277989,6,154.891194793779,0,0,123.912955835023,0.791863673416281,9.15933989951499e-17,0.208136326583719,0.807094063634908,0,0.192905936365092,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,200.580678321577,200.580678321577,0,0,0,0.89375,0,0,0,149.571247355176,29.8794309664017,0,0,0,181.3588,19.2218783215774,0
7,NORMAL,224.991213716989,224.991213716989,174.596486500346,0,29.2647272166432,153.644908120304,0,0,0,0,0,27.313515761296,0,0,203631.426231483,4499.82427433978,-199131.601957143,0,0,0,3374.86820575483,99479.2119408001,-96104.3437350453,3374.86820575483,90479.2119408001,-87104.3437350453,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.856447792676884,0,0.143552207323116,1,KALMAN_PRIOR_POSTERIOR,170.861810525481,186.271399101561,170.641097872435,186.271399101561,38.719814615428,6,165.141399101561,0,0,132.113119281249,0.80268784558306,1.01169073583189e-16,0.19731215441694,0.822789879607078,0,0.177210120392922,1,0,0.0216483443335574,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,224.991213716989,224.991213716989,0,0,0,0.89375,0,0,0,174.596486500346,29.2647272166432,0,0,0,208.1716,16.8196137169888,0
8,NORMAL,244.995306020671,244.208103514808,200,0,23.0781035148082,176,0,0,0,0,0,21.5396876736494,0.787202505863149,0,183734.278368247,4884.16207029616,-178850.116297951,0,0,0,3663.12155272212,107769.843836825,-104106.722284103,3663.12155272212,98769.8438368247,-95106.7222841026,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.896546979953699,0,0.103453020046301,1,KALMAN_PRIOR_POSTERIOR,177.62798592442,202.357055024475,171.109101840299,202.357055024475,42.6382509961968,6,181.227055024475,0,0,144.98164401958,0.827176843664216,1.62904411851419e-16,0.172823156335784,0.872656411529219,0,0.127343588470781,1,0,0.0489779961623116,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,0.787202505863149,1,MAIN_CONCLUSION_ELIGIBLE,244.995306020671,244.208103514808,0.787202505863149,0,0,0.89375,0,0,0,200,23.0781035148082,0,0,0,234.9844,10.0109060206714,0
9,NORMAL,255.284296059127,255.284296059127,200,12.2480174081596,21.9062786509671,176,215.748060739116,0,0,0,215.748060739116,20.4462681353011,0,0,178267.180676505,25860.8041337694,-158524.991545297,0,0,0,3829.2644408869,107223.134067651,-103393.869626764,3829.2644408869,98223.1340676505,-94393.8696267636,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.85413764925969,0.0523074639854861,0.0935548867548237,1,KALMAN_PRIOR_POSTERIOR,185.113243712892,217.346123224779,171.960803943805,217.346123224779,37.9381728343478,6,196.216123224779,0,0,156.972898579823,0.848589680754241,1.19765655802358e-16,0.151410319245758,0.888356378207147,0,0.111643621792853,1,0,0.0428256741800517,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,1,12.2480174081596,12.2480174081596,12.2480174081596,1,MAIN_CONCLUSION_ELIGIBLE,255.284296059127,255.284296059127,0,0,0,0.89375,12.2480174081596,215.748060739116,0,200,21.9062786509671,0,0,0,253.9768,1.30749605912667,0
10,NORMAL,261.7972,261.7972,198.046014686542,20,22.621185313458,174.280492924157,352.29874933944,0,0,0,352.29874933944,21.113827126825,0,0,180914.868664306,6468.98962268804,-184437.071572885,0,0,0,3926.958,106697.160025491,-102770.202025491,3926.958,97697.160025491,-93770.202025491,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.822904054588835,0.0831023089145509,0.0939936364966143,1,KALMAN_PRIOR_POSTERIOR,192.130348947516,227.086542034549,173.040166430675,227.086542034549,34.7106579654505,6,205.95654203455,20,120,164.76523362764,0.829153377361813,0.0339877526144606,0.136858870023727,0.793057385347302,0.0971078646127442,0.109834750039954,1,0,0.0679755052289207,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,261.7972,261.7972,0,0,0,0.89375,20,568.046810078556,0,198.046014686542,22.621185313458,0,0,0,261.7972,0,0
11,NORMAL,257.47125859082,257.47125859082,193.471739349985,20,22.5095192408349,170.255130627987,352.298749339439,0,0,0,352.298749339439,21.0098998872005,0,0,178779.693562239,6382.47079450444,-182388.415299001,0,0,0,3862.0688788623,104632.515257594,-100770.446378731,3862.0688788623,95632.5152575937,-91770.4463787314,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.819860613106805,0.0847524931404786,0.0953868937527168,1,KALMAN_PRIOR_POSTERIOR,198.463699043196,234.157528531481,173.855471823477,234.157528531481,23.3137300593387,6,213.027528531481,20,120,170.422022825185,0.819107399142248,0.0549516421260959,0.125940958731656,0.800450582448771,0.0938845797905617,0.105664837760668,1,0,0.0419277790232709,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,257.47125859082,257.47125859082,0,0,0,0.89375,20,920.345559417996,0,193.471739349985,22.5095192408349,0,0,0,257.3284,0,0.142858590820011
12,NORMAL,241.697415331254,241.697415331254,179.414805382489,20,20.7926099487645,157.885028736591,352.298749339441,0,0,0,352.298749339441,19.4076490410492,0,0,165803.822638389,6066.99392931312,-169728.021240343,0,0,0,3625.46122996881,97646.3388888199,-94020.8776588511,3625.46122996881,88646.3388888199,-85020.8776588511,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.814753695340364,0.0908234628244213,0.0944228418352151,1,KALMAN_PRIOR_POSTERIOR,203.380995672165,234.633101504217,174.267575120601,234.633101504217,7.06431382703636,6,213.143101504217,20,120,170.514481203374,0.81543470234161,0.0685603527862228,0.116004944872167,0.808613979711854,0.0938336725836011,0.0975523477045447,1,0,0.0272174213202535,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,241.697415331254,241.697415331254,0,0,0,0.89375,20,1272.64430875744,0,179.414805382489,20.7926099487645,0,0,0,238.336,0,3.36141533125378
13,NORMAL,214.111027758567,214.111027758567,151.351089012012,20,21.2699387465549,133.18895833057,352.29874933944,0,0,0,352.29874933944,19.8534653600074,0,0,158121.383336428,5515.26617785937,-162597.309689835,0,0,0,3211.6654163785,85521.2118452888,-82309.5464289103,3211.6654163785,76521.2118452888,-73309.5464289103,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.785745413017508,0.103830823834396,0.110423763148097,1,KALMAN_PRIOR_POSTERIOR,206.328412569018,227.386554582104,174.305564927644,227.386554582104,-13.2755268235371,6,205.896554582104,20,120,164.717243665683,0.809878499837556,0.0785618841732522,0.111559615989192,0.799559838044313,0.0971361567491639,0.103304005206524,1,0,0.0200030627740589,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,214.111027758567,214.111027758567,0,0,0,0.89375,20,1624.94305809688,0,151.351089012012,21.2699387465549,0,0,0,209.2888,0,4.82222775856656
14,NORMAL,193.428270774166,193.428270774166,130.290385739412,20,21.6478850347542,114.655539450683,352.29874933944,0,0,0,352.29874933944,20.206528887195,0,0,152448.498639112,5101.61103817137,-157338.080132207,0,0,0,2901.4240616125,76431.0341689389,-73529.6101073264,2901.4240616125,67431.0341689389,-64529.6101073264,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.757774200896455,0.116320816243808,0.125904982859737,1,KALMAN_PRIOR_POSTERIOR,206.884313653985,212.277814696969,174.140939430921,212.277814696969,-18.8495439228022,6,190.787814696969,20,120,152.630251757575,0.800018033511987,0.0877551989183473,0.112226767569665,0.781705738907361,0.104828497730667,0.113465763361973,1,0,0.019720932651137,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,193.428270774166,193.428270774166,0,0,0,0.89375,20,1977.24180743632,0,130.290385739412,21.6478850347542,0,0,0,186.9448,0,6.48347077416645
15,NORMAL,179.826633421327,179.826633421327,116.753324889108,20,21.5833085322193,102.742925902415,352.29874933944,0,0,0,352.29874933944,20.1465377648757,0,0,147367.534706054,4829.57829111459,-152529.148946205,0,0,0,2697.39950131991,70444.7318336454,-67747.3323323255,2697.39950131991,61444.7318336454,-58747.3323323255,1,1,PASS_STRICT,1,0,c5_56_distance_loss_proxy_0p12,0.737374051514865,0.126313156771376,0.136312791713759,1,KALMAN_PRIOR_POSTERIOR,205.987244128664,199.506840000529,173.98853276839,199.506840000529,-19.6802065792014,6,178.016840000529,20,120,142.413472000423,0.788254524057939,0.0963630018555512,0.11538247408651,0.76640800650042,0.112348921596073,0.121243071903507,1,0,0.0235270189080971,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,179.826633421327,179.826633421327,0,0,0,0.89375,20,2329.54055677576,0,116.753324889108,21.5833085322193,0,0,0,171.304,0,8.52263342132742
