timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,bessChargeMWh,bessDischargeMWh,bessThroughputMWh,projectGHGKgCO2e,avoidedBaselineGHGKgCO2e,netGHGKgCO2e,proxyProjectGHGKgCO2e,proxyAvoidedGHGKgCO2e,proxyNetGHGKgCO2e,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
0,NORMAL,140.291756304204,140.291756304204,87.9371612235423,0,15.6122975403309,80.9021883256589,0,0,0,0,0,29.1398174519855,0,0,183568.371522547,2805.83512608408,-180762.536396463,0,0,0,2104.37634456306,64021.0028888222,-61916.6265442591,2104.37634456306,55021.0028888222,-52916.6265442591,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.849228593498185,0,0.150771406501815,1,KALMAN_PRIOR_POSTERIOR,200,200,357.770876399966,200,-59.7082436957959,6,165.937702459669,0,0,103.549458763873,0.905914705887136,0,0.0940852941128641,0.905914705887136,0,0.0940852941128641,1,0,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,140.291756304204,140.291756304204,0,0,0,0.5,0,0,0,87.9371612235423,31.2245950806618,0,0,0,134.26,6.03175630420411,0
1,NORMAL,152.518159228209,152.518159228209,70.0743599601035,0,15.2942471350554,64.4684111632952,0,0,0,0,0,28.5465921109482,0,0,174006.712691018,3050.36318456417,-182671.078718954,30.7253049979945,0,30.7253049979945,2441.3989134131,55507.5016371217,-53066.1027237086,2441.3989134131,46507.5016371217,-44066.1027237086,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.82084459785074,0,0.17915540214926,1,KALMAN_PRIOR_POSTERIOR,143.135006004004,143.135006004004,178.03156488454,143.135006004004,9.38315322420476,6,106.710758868949,0,0,85.3686070951588,0.888681046224846,0,0.111318953775155,0.856675678280592,0,0.143324321719408,1,0,0.0344673193245809,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,152.518159228209,152.518159228209,0,30.7253049979945,0,0.682431498425592,0,0,0,70.0743599601035,30.5884942701108,0,0,0,138.964,13.5541592282087,0
2,NORMAL,165.459025817457,165.459025817457,80.0345069812058,0,14.3520171802809,73.6317464227093,0,0,0,0,0,26.7883071973859,0,0,168892.901096219,3309.18051634915,-179153.41136737,35.5904844756898,0,35.5904844756898,2659.83780964031,59210.0268100476,-56550.1890004073,2659.83780964031,50210.0268100476,-47550.1890004073,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.847944213352683,0,0.152055786647317,1,KALMAN_PRIOR_POSTERIOR,146.404957766206,149.218584716574,170.143040569478,149.218584716574,16.2404411008828,6,113.736567536294,0,0,90.9892540290349,0.888681046224846,0,0.111318953775155,0.873813519335361,0,0.126186480664639,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,165.459025817457,165.459025817457,0,35.5904844756898,0,0.89375,0,0,0,80.0345069812058,28.7040343605618,0,0,0,144.256,21.2030258174573,0
3,NORMAL,175.487295316613,175.487295316613,123.731868938958,0,15.3127131888276,113.833319423841,0,0,0,0,0,28.5818695133202,0,0,193995.211984165,3509.74590633226,-190485.466077833,0,0,0,2632.3094297492,80207.5944685807,-77575.2850388315,2632.3094297492,71207.5944685807,-68575.2850388315,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.889871917664833,0,0.110128082335167,1,KALMAN_PRIOR_POSTERIOR,152.75631378329,158.98422454648,170.330447570587,158.98422454648,16.5030707701333,6,122.541511357652,0,0,98.0332090861217,0.888681046224846,0,0.111318953775155,0.875040604451698,0,0.124959395548302,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,175.487295316613,175.487295316613,0,0,0,0.89375,0,0,0,123.731868938958,30.6254263776553,0,0,0,147.784,27.703295316613,0
4,NORMAL,176.672977440479,176.672977440479,126.152147329305,0,14.6954150555867,116.059975542961,0,0,0,0,0,27.4300437234936,0,0,189129.72920188,3533.45954880958,-185596.269653071,0,0,0,2650.09466160718,80745.0096332273,-78094.9149716201,2650.09466160718,71745.0096332273,-69094.9149716201,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.895664399108103,0,0.104335600891897,1,KALMAN_PRIOR_POSTERIOR,158.439059166621,167.625445589451,170.627778294675,167.625445589451,9.04753185102817,6,131.800030533864,0,0,105.440024427091,0.888681046224846,0,0.111318953775155,0.888502187775966,0,0.111497812224034,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,176.672977440479,176.672977440479,0,0,0,0.89375,0,0,0,126.152147329305,29.3908301111734,0,0,0,152.3116,24.3613774404788,0
5,NORMAL,185.022781249829,185.022781249829,134.746438944702,0,14.5731711525637,123.966723829126,0,0,0,0,0,27.2022525120563,0,0,191164.067501863,3700.45562499659,-187463.611876866,0,0,0,2775.34171874744,84584.4881705911,-81809.1464518436,2775.34171874744,75584.4881705911,-72809.1464518436,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.902402831462854,0,0.0975971685371457,1,KALMAN_PRIOR_POSTERIOR,162.085842821392,170.285910430675,170.556538696504,170.285910430675,14.736870819154,6,134.582739278112,0,0,107.666191422489,0.888681046224846,0,0.111318953775155,0.891715897367428,0,0.108284102632572,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,185.022781249829,185.022781249829,0,0,0,0.89375,0,0,0,134.746438944702,29.1463423051274,0,0,0,163.4836,21.5391812498294,0
6,NORMAL,200.580678321577,200.580678321577,149.571247355176,0,14.9397154832008,137.605547566762,0,0,0,0,0,27.8868389312393,0,0,200060.805116641,4011.61356643155,-196049.191550209,0,0,0,3008.71017482366,91746.1932490005,-88737.4830741768,3008.71017482366,82746.1932490005,-79737.4830741768,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.909187112971442,0,0.0908128870285583,1,KALMAN_PRIOR_POSTERIOR,165.908665892799,176.021194793779,170.513395331865,176.021194793779,24.5594835277989,6,139.951479310578,0,0,111.961183448462,0.888681046224846,0,0.111318953775155,0.893250749782738,0,0.106749250217262,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,200.580678321577,200.580678321577,0,0,0,0.89375,0,0,0,149.571247355176,29.8794309664017,0,0,0,181.3588,19.2218783215774,0
7,NORMAL,224.991213716989,224.991213716989,174.596486500346,0,14.6323636083216,160.628767580318,0,0,0,0,0,27.313515761296,0,0,206434.328387165,4499.82427433978,-201934.504112825,0,0,0,3374.86820575483,102971.141670807,-99596.2734650522,3374.86820575483,93971.141670807,-90596.2734650522,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.922673717036706,0,0.0773262829632943,1,KALMAN_PRIOR_POSTERIOR,170.861810525481,186.271399101561,170.641097872435,186.271399101561,38.719814615428,6,150.509035493239,0,0,120.407228394591,0.888681046224846,0,0.111318953775155,0.90278082933447,0,0.0972191706655305,1,1,0,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,224.991213716989,224.991213716989,0,0,0,0.89375,0,0,0,174.596486500346,29.2647272166432,0,0,0,208.1716,16.8196137169888,0
8,NORMAL,244.995306020671,244.208103514808,200,0,11.5390517574041,184,0,0,0,0,0,21.5396876736494,0.787202505863121,0,186944.998368247,4884.16207029616,-182060.836297951,0,0,0,3663.12155272212,111769.843836825,-108106.722284103,3663.12155272212,102769.843836825,-99106.7222841026,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.945451907524681,0,0.0545480924753187,1,KALMAN_PRIOR_POSTERIOR,177.62798592442,202.357055024475,171.109101840299,202.357055024475,42.6382509961968,6,169.68800326707,0,0,135.750402613656,0.903842128225553,4.85722568037393e-17,0.0961578717744469,0.931998423369725,0,0.0680015766302754,1,0,0.0303221640014153,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,0,0,0,0.787202505863121,1,MAIN_CONCLUSION_ELIGIBLE,244.995306020671,244.208103514808,0.787202505863121,0,0,0.89375,0,0,0,200,23.0781035148082,0,0,0,234.9844,10.0109060206714,0
9,NORMAL,255.284296059127,255.284296059127,200,12.2480174081596,10.9531393254835,184,215.748060739116,0,0,0,215.748060739116,20.4462681353011,0,0,181477.900676505,25860.8041337694,-161735.711545297,0,0,0,3829.2644408869,111223.134067651,-107393.869626764,3829.2644408869,102223.134067651,-98393.8696267636,1,1,PASS_STRICT,1,0,c5_56_flex_ratio_0p50,0.896052703878546,0.0548743455786647,0.0490729505427897,1,KALMAN_PRIOR_POSTERIOR,185.113243712892,217.346123224779,171.960803943805,217.346123224779,37.9381728343478,6,185.262983899295,0,0,148.210387119436,0.916804643311703,5.5511150554424e-17,0.0831953566882973,0.940877885614552,0,0.0591221143854479,1,0,0.0259250301722992,0,0.5,0.5,0,0,0,NONE,PLAN_SOLVED,0,,0,0,NaN,1,0,1,0,0,1,12.2480174081596,12.2480174081596,12.2480174081596,1,MAIN_CONCLUSION_ELIGIBLE,255.284296059127,255.284296059127,0,0,0,0.89375,12.2480174081596,215.748060739116,0,200,21.9062786509671,0,0,0,253.9768,1.30749605912667,0
