strategyId,eventCode,hours,eAvailableMWh,eSourceUsedMWh,eCurtailmentMWh,ensMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,minimumBessSOC,minimumH2InventoryKg,planFallbackHours,reserveConstraintRelaxationHours,reliabilityRelaxationHours,totalCriticalDemandMWh,criticalServiceRate,principalConclusionEligible,principalConclusionStatus,outputRevenueCNY,operatingCostCNY,netGHGKgCO2e,caseLabel,outputRevenueMCNY,operatingCostMCNY,netGHGKtCO2e,criticalServiceRatePct
model_online_prior_posterior_event_aware,NORMAL,8700,2005898.93968884,1504753.90270664,501145.0369822,1890.90667997593,799858.848861594,345658.437029905,201297.894510227,0.10625,-3.26849658449646e-13,352,294,135,185554.8,0.989809443463732,0.0,EXCLUDED_RELAXED_FALLBACK,,,,Base,,,,98.9809443463732
model_online_prior_posterior_event_aware,TYPHOON_WARNING,12,1473.4724550877,374.12069259387,1099.35176249383,0.0,0.0,0.0,0.0,0.407866006887612,0.0,0,2,0,257.88,1.0,0.0,EXCLUDED_RELAXED_FALLBACK,,,,Base,,,,100.0
model_online_prior_posterior_event_aware,TYPHOON_PASSAGE,24,0.0,0.0,0.0,341.34,0.0,0.0,0.0,0.10625,0.0,0,18,18,461.04,0.2596304008329,0.0,EXCLUDED_RELAXED_FALLBACK,,,,Base,,,,25.96304008329
model_online_prior_posterior_event_aware,TYPHOON_RECOVERY,24,6742.12105273339,3420.25841758731,3321.86263514608,16.2085846687462,1954.91542330868,840.0,0.0,0.10625,0.0,7,2,1,508.92,0.968151016527654,0.0,EXCLUDED_RELAXED_FALLBACK,,,,Base,,,,96.8151016527654
c5_56_flex_ratio_0p50,NORMAL,8700,2005898.93968884,1497703.94692315,508194.992765689,4233.83303620194,,,,,,304,811,258,295651.553196722,0.985679652312245,,,1415513259.83508,111325872.009069,-559945934.980806,Flex 50%,1415.51325983508,111.325872009069,-559.945934980806,98.56796523122449
c5_56_flex_ratio_0p50,TYPHOON_WARNING,12,1473.4724550877,386.57270551454,1086.89974957316,0.0,,,,,,0,2,0,257.88,1.0,,,64800.0,7731.45411029081,-101557.945889709,Flex 50%,0.0648,0.00773145411029081,-0.101557945889709,100.0
c5_56_flex_ratio_0p50,TYPHOON_PASSAGE,24,0.0,0.0,0.0,341.34,,,,,,0,18,18,461.04,0.2596304008329,,,33369.0,4239791.0,-55016.5,Flex 50%,0.033369,4.239791,-0.0550165,25.96304008329
c5_56_flex_ratio_0p50,TYPHOON_RECOVERY,24,6742.12105273339,3412.4283016396,3329.69275109379,16.2085846687462,,,,,,9,2,1,508.92,0.968151016527654,,,843665.184475131,322122.328873152,-1051705.36663235,Flex 50%,0.843665184475131,0.32212232887315195,-1.05170536663235,96.8151016527654
c5_56_distance_loss_proxy_0p12,NORMAL,8700,2005898.93968884,1503124.34817869,502774.591510153,1881.10919435022,,,,,,352,290,135,185554.8,0.989862244499467,,,1390141026.36337,87159633.4296632,-544234621.037363,Cable loss 12%,1390.14102636337,87.1596334296632,-544.234621037363,98.9862244499467
c5_56_distance_loss_proxy_0p12,TYPHOON_WARNING,12,1473.4724550877,374.12069259387,1099.35176249383,0.0,,,,,,0,2,0,257.88,1.0,,,64800.0,7482.4138518774,-101806.986148123,Cable loss 12%,0.0648,0.0074824138518774,-0.101806986148123,100.0
c5_56_distance_loss_proxy_0p12,TYPHOON_PASSAGE,24,0.0,0.0,0.0,341.34,,,,,,0,18,18,461.04,0.2596304008329,,,33369.0,4239791.0,-55016.5,Cable loss 12%,0.033369,4.239791,-0.0550165,25.96304008329
c5_56_distance_loss_proxy_0p12,TYPHOON_RECOVERY,24,6742.12105273339,3420.25841758731,3321.86263514608,16.2085846687462,,,,,,7,2,1,508.92,0.968151016527654,,,815172.889871198,322278.931192106,-1016091.4597629,Cable loss 12%,0.815172889871198,0.322278931192106,-1.0160914597629,96.8151016527654
