timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,planningAvailableMW,forecastErrorMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,bessReserveShortfallMWh,planStatus,planFallbackUsed,planFallbackMessage,reliabilityRelaxationUsed,minimumFeasibleENSMWh,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
0,NORMAL,140.291756304204,140.291756304204,52.8459668305199,0,0,48.6182894840783,0,0,0,0,17068.3894761788,2805.83512608408,-36123.5543500947,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,140.291756304204,140.291756304204,0,66.3157894736842,0,0.89375,0,0,0,52.8459668305199,0,0,0,134.26,6.03175630420411,0
1,NORMAL,152.518159228209,152.518159228209,131.388159228209,0,0,120.877106489952,0,0,0,0,34410.5055575885,3050.36318456417,-31360.1423730243,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,152.518159228209,152.518159228209,0,0,0,0.89375,0,0,0,131.388159228209,0,0,0,138.964,13.5541592282087,0
2,NORMAL,165.459025817457,165.459025817457,144.329025817457,0,0,132.782703752061,0,0,0,0,37267.8489004946,3309.18051634915,-33958.6683841454,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,165.459025817457,165.459025817457,0,0,0,0.89375,0,0,0,144.329025817457,0,0,0,144.256,21.2030258174573,0
3,NORMAL,175.487295316613,175.487295316613,154.357295316613,0,0,142.008711691284,0,0,0,0,39482.0908059082,3509.74590633226,-35972.3448995759,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,175.487295316613,175.487295316613,0,0,0,0.89375,0,0,0,154.357295316613,0,0,0,147.784,27.703295316613,0
4,NORMAL,176.672977440479,176.672977440479,155.542977440479,0,0,143.099539245241,0,0,0,0,39743.8894188577,3533.45954880958,-36210.4298700481,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,176.672977440479,176.672977440479,0,0,0,0.89375,0,0,0,155.542977440479,0,0,0,152.3116,24.3613774404788,0
5,NORMAL,185.022781249829,185.022781249829,163.892781249829,0,0,150.781358749843,0,0,0,0,41587.5260999623,3700.45562499659,-37887.0704749657,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,185.022781249829,185.022781249829,0,0,0,0.89375,0,0,0,163.892781249829,0,0,0,163.4836,21.5391812498294,0
6,NORMAL,200.580678321577,200.580678321577,179.450678321577,0,0,165.094624055851,0,0,0,0,45022.7097734043,4011.61356643155,-41011.0962069727,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,200.580678321577,200.580678321577,0,0,0,0.89375,0,0,0,179.450678321577,0,0,0,181.3588,19.2218783215774,0
7,NORMAL,224.991213716989,221.13,200,0,0,184,0,0,3.86121371698889,0,71640,4422.6,-67217.4,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,224.991213716989,221.13,3.86121371698889,0,0,0.89375,0,0,0,200,0,0,0,208.1716,16.8196137169888,0
8,NORMAL,244.995306020671,221.13,200,0,0,184,0,0,23.8653060206714,0,71640,4422.6,-67217.4,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,244.995306020671,221.13,23.8653060206714,0,0,0.89375,0,0,0,200,0,0,0,234.9844,10.0109060206714,0
9,NORMAL,255.284296059127,221.13,200,0,0,184,0,0,34.1542960591267,0,71640,4422.6,-67217.4,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,NaN,255.284296059127,221.13,34.1542960591267,0,0,0.89375,0,0,0,200,0,0,0,253.9768,1.30749605912667,0
